Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Growth rate 2022-2021 in %,Growth rate 2022-2012 in %,Share 2022 in %
Canada,0.65,0.64,0.63,0.68,0.66,0.71,0.67,0.64,0.65,0.67,0.65,0.77,0.98,0.81,0.76,0.93,0.95,1.0,1.05,1.17,1.12,1.04,1.12,1.2,1.2,1.14,1.1,1.12,0.99,1.05,1.1,1.13,1.18,1.26,1.21,1.28,1.33,1.34,1.33,1.26,1.25,1.21,1.27,1.21,1.01,1.03,0.93,0.88,0.86,0.82,0.82,0.77,0.8,0.65,0.61,0.53,0.5,0.39,-22.4,-7.9,0.2
Mexico,0.03,0.03,0.04,0.04,0.04,0.05,0.06,0.06,0.07,0.07,0.09,0.07,0.09,0.1,0.1,0.1,0.09,0.1,0.12,0.12,0.13,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.16,0.19,0.21,0.24,0.24,0.25,0.25,0.27,0.3,0.5,0.37,0.38,0.48,0.52,0.47,0.42,0.43,0.53,0.62,0.54,0.53,0.53,0.53,0.52,0.64,0.57,0.54,0.24,0.2,0.25,26.6,-7.3,0.2
US,11.61,12.17,11.94,12.36,12.41,12.29,11.63,12.1,13.0,12.69,12.69,13.62,13.95,13.8,15.07,15.46,15.94,15.36,15.93,17.11,17.52,17.3,18.05,18.89,19.11,19.22,19.04,19.17,19.88,19.96,20.13,21.05,21.49,21.71,21.67,22.63,21.96,21.95,22.37,22.52,22.85,22.5,22.8,22.44,19.74,20.88,19.7,17.42,18.08,18.04,15.58,14.26,13.87,13.28,11.34,9.2,10.57,9.87,-6.7,-5.5,6.1
Total North America,12.28,12.84,12.61,13.08,13.11,13.05,12.36,12.8,13.72,13.43,13.42,14.45,15.03,14.7,15.93,16.48,16.98,16.46,17.1,18.39,18.77,18.48,19.3,20.22,20.45,20.49,20.27,20.43,21.03,21.2,21.45,22.42,22.91,23.21,23.13,24.18,23.59,23.8,24.08,24.16,24.58,24.23,24.55,24.07,21.18,22.45,21.25,18.84,19.48,19.39,16.94,15.55,15.3,14.5,12.5,9.98,11.27,10.51,-6.8,-5.6,6.5
Argentina,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.03,0.04,0.03,0.02,0.02,0.02,0.03,0.04,0.04,0.05,0.06,0.03,0.05,0.05,0.05,0.05,0.06,0.06,0.04,0.05,0.05,0.03,0.04,0.05,0.05,2.5,0.5,0.0
Brazil,0.07,0.08,0.08,0.08,0.09,0.1,0.1,0.11,0.11,0.11,0.13,0.14,0.18,0.21,0.23,0.25,0.24,0.26,0.29,0.35,0.42,0.42,0.44,0.45,0.45,0.4,0.46,0.45,0.46,0.47,0.5,0.51,0.51,0.5,0.51,0.54,0.54,0.52,0.54,0.56,0.54,0.54,0.57,0.58,0.47,0.61,0.65,0.64,0.69,0.73,0.74,0.67,0.7,0.69,0.65,0.59,0.71,0.59,-17.8,-0.9,0.4
Chile,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.03,0.04,0.05,0.05,0.05,0.05,0.07,0.09,0.11,0.09,0.08,0.08,0.09,0.1,0.14,0.18,0.17,0.17,0.13,0.11,0.11,0.1,0.12,0.12,0.14,0.17,0.18,0.17,0.19,0.24,0.28,0.32,0.32,0.31,0.31,0.32,0.31,0.31,0.26,0.29,0.22,-24.6,-2.4,0.1
Colombia,0.08,0.08,0.09,0.08,0.09,0.09,0.07,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.11,0.12,0.12,0.13,0.13,0.16,0.13,0.15,0.07,0.08,0.14,0.15,0.17,0.15,0.12,0.14,0.13,0.11,0.11,0.11,0.09,0.1,0.09,0.06,0.16,0.14,0.19,0.17,0.2,0.16,0.2,0.21,0.22,0.21,0.23,0.17,0.16,0.19,0.17,0.11,0.1,-9.4,-6.3,0.1
Ecuador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.5,19.9,0.0
Peru,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.02,0.02,0.03,36.1,-2.2,0.0
Trinidad & Tobago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Venezuela,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,-16.2,0.0
Central America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.03,0.04,0.04,0.05,0.06,0.04,0.05,0.07,0.06,0.07,0.05,-34.1,4.4,0.0
Other Caribbean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.05,0.06,0.07,0.06,0.07,0.08,0.08,0.08,0.07,0.08,0.07,0.08,0.09,0.08,0.08,0.07,0.08,0.11,0.15,0.14,0.14,-0.1,7.4,0.1
Other South America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2,10.8,0.0
Total S. & Cent. America,0.24,0.24,0.26,0.25,0.27,0.3,0.28,0.27,0.28,0.31,0.33,0.33,0.37,0.4,0.42,0.45,0.44,0.45,0.5,0.57,0.66,0.67,0.74,0.73,0.79,0.66,0.7,0.74,0.74,0.79,0.8,0.82,0.89,0.87,0.86,0.88,0.83,0.83,0.88,0.93,0.87,1.01,1.08,1.15,0.97,1.17,1.25,1.31,1.44,1.51,1.48,1.43,1.4,1.37,1.39,1.29,1.41,1.19,-15.9,-1.0,0.7
Austria,0.21,0.2,0.19,0.19,0.19,0.2,0.18,0.17,0.17,0.18,0.15,0.16,0.14,0.14,0.15,0.15,0.16,0.15,0.16,0.18,0.18,0.16,0.16,0.15,0.16,0.17,0.18,0.14,0.13,0.13,0.15,0.15,0.15,0.14,0.14,0.15,0.16,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.12,0.14,0.15,0.14,0.14,0.13,0.14,0.13,0.13,0.12,0.12,0.1,0.11,0.1,-5.5,-2.8,0.1
Belgium,0.8,0.73,0.72,0.74,0.72,0.68,0.56,0.54,0.45,0.48,0.36,0.38,0.38,0.39,0.44,0.44,0.45,0.46,0.39,0.45,0.45,0.38,0.38,0.39,0.41,0.45,0.43,0.38,0.36,0.39,0.37,0.35,0.33,0.33,0.29,0.32,0.3,0.26,0.25,0.23,0.22,0.21,0.19,0.19,0.12,0.16,0.15,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.1,0.11,0.12,3.4,-1.8,0.1
Bulgaria,0.25,0.26,0.28,0.31,0.31,0.34,0.33,0.34,0.34,0.34,0.35,0.33,0.33,0.35,0.36,0.38,0.39,0.41,0.4,0.4,0.42,0.43,0.43,0.4,0.41,0.35,0.31,0.33,0.35,0.32,0.32,0.32,0.36,0.35,0.29,0.26,0.3,0.28,0.31,0.3,0.29,0.29,0.33,0.32,0.27,0.29,0.34,0.29,0.25,0.27,0.27,0.24,0.26,0.23,0.21,0.17,0.22,0.26,19.4,-1.0,0.2
Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,-1.0,-4.2,0.0
Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.7,63.5,0.0
Czech Republic,1.48,1.47,1.43,1.48,1.53,1.55,1.62,1.6,1.56,1.56,1.59,1.62,1.65,1.66,1.66,1.61,1.6,1.62,1.61,1.64,1.6,1.59,1.58,1.59,1.53,1.25,1.14,1.07,1.04,0.98,0.98,0.98,0.92,0.85,0.78,0.89,0.87,0.86,0.87,0.87,0.84,0.87,0.87,0.82,0.76,0.79,0.77,0.74,0.71,0.69,0.68,0.69,0.67,0.67,0.6,0.52,0.54,0.59,8.5,-2.3,0.4
Denmark,0.15,0.18,0.15,0.13,0.12,0.1,0.06,0.06,0.09,0.09,0.09,0.12,0.14,0.15,0.18,0.26,0.21,0.25,0.24,0.25,0.3,0.31,0.3,0.28,0.23,0.26,0.35,0.29,0.3,0.32,0.27,0.37,0.28,0.24,0.2,0.17,0.18,0.18,0.24,0.18,0.15,0.23,0.2,0.17,0.17,0.16,0.14,0.11,0.14,0.11,0.08,0.09,0.07,0.07,0.04,0.03,0.04,0.04,-3.3,-8.6,0.0
Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.25,0.25,0.24,0.25,0.26,0.24,0.19,0.15,0.16,0.15,0.15,0.15,0.13,0.12,0.12,0.12,0.12,0.14,0.14,0.14,0.13,0.16,0.15,0.13,0.17,0.17,0.16,0.17,0.17,0.15,0.16,0.18,0.18,0.13,0.1,0.11,0.12,7.1,-2.4,0.1
Finland,0.07,0.07,0.07,0.08,0.09,0.1,0.08,0.09,0.1,0.11,0.1,0.13,0.13,0.18,0.17,0.19,0.12,0.13,0.14,0.16,0.21,0.19,0.21,0.21,0.21,0.22,0.22,0.2,0.23,0.28,0.25,0.29,0.28,0.23,0.22,0.21,0.25,0.28,0.34,0.31,0.2,0.31,0.29,0.22,0.22,0.28,0.23,0.19,0.21,0.19,0.16,0.18,0.17,0.18,0.15,0.11,0.12,0.12,-0.1,-4.2,0.1
France,1.73,1.6,1.58,1.52,1.52,1.45,1.33,1.18,1.17,1.18,1.04,1.22,1.18,1.23,1.33,1.3,1.19,1.22,1.1,1.05,1.02,0.84,0.77,0.75,0.82,0.8,0.85,0.75,0.61,0.6,0.61,0.65,0.57,0.68,0.61,0.59,0.52,0.53,0.57,0.54,0.56,0.52,0.54,0.51,0.45,0.48,0.41,0.46,0.48,0.36,0.36,0.35,0.38,0.34,0.27,0.19,0.23,0.21,-6.1,-7.4,0.1
Germany,6.73,6.28,6.05,6.14,6.32,6.24,5.97,5.83,5.85,5.88,5.32,5.62,5.4,5.47,5.78,5.92,6.02,5.87,6.09,6.28,6.25,5.91,5.88,5.81,5.9,5.51,4.84,4.37,4.12,4.0,3.79,3.78,3.66,3.57,3.44,3.57,3.58,3.59,3.65,3.56,3.4,3.54,3.63,3.35,3.0,3.23,3.28,3.37,3.47,3.33,3.29,3.2,3.01,2.9,2.25,1.85,2.24,2.33,4.1,-3.6,1.4
Greece,0.09,0.09,0.08,0.1,0.09,0.11,0.16,0.17,0.2,0.21,0.27,0.32,0.34,0.3,0.17,0.17,0.16,0.17,0.2,0.22,0.25,0.24,0.28,0.31,0.33,0.34,0.32,0.34,0.34,0.34,0.34,0.33,0.35,0.37,0.36,0.38,0.39,0.38,0.38,0.39,0.38,0.35,0.37,0.35,0.35,0.33,0.33,0.34,0.29,0.28,0.24,0.18,0.2,0.2,0.13,0.08,0.07,0.07,0.5,-14.4,0.0
Hungary,0.46,0.44,0.38,0.38,0.38,0.39,0.37,0.36,0.37,0.35,0.33,0.34,0.34,0.34,0.34,0.34,0.34,0.35,0.33,0.32,0.32,0.31,0.31,0.3,0.27,0.26,0.24,0.22,0.2,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.15,0.15,0.14,0.13,0.13,0.13,0.13,0.11,0.11,0.11,0.11,0.1,0.09,0.1,0.09,0.09,0.09,0.08,0.07,0.06,0.05,-13.4,-7.5,0.0
Iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0
Ireland,0.13,0.15,0.16,0.19,0.18,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.08,0.07,0.08,0.08,0.08,0.09,0.09,0.09,0.1,0.11,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.1,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.08,0.08,0.08,0.09,0.09,0.08,0.09,0.09,0.08,0.06,0.04,0.04,0.05,0.04,-14.0,-7.7,0.0
Italy,0.36,0.38,0.41,0.4,0.41,0.41,0.4,0.37,0.38,0.41,0.41,0.41,0.4,0.41,0.45,0.53,0.54,0.6,0.56,0.64,0.63,0.62,0.62,0.58,0.6,0.61,0.58,0.51,0.45,0.47,0.51,0.47,0.47,0.49,0.49,0.52,0.56,0.57,0.62,0.69,0.69,0.7,0.68,0.66,0.52,0.57,0.64,0.66,0.57,0.55,0.52,0.46,0.4,0.37,0.28,0.21,0.23,0.31,30.1,-7.4,0.2
Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,-13.9,0.0
Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.04,0.04,0.04,0.03,0.04,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.5,-1.9,0.0
Luxembourg,0.11,0.1,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.11,0.08,0.08,0.07,0.07,0.08,0.08,0.06,0.06,0.05,0.06,0.06,0.05,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,-1.9,0.0
Netherlands,0.37,0.34,0.32,0.31,0.26,0.19,0.14,0.12,0.13,0.12,0.1,0.13,0.13,0.15,0.14,0.17,0.19,0.21,0.22,0.27,0.27,0.27,0.29,0.35,0.34,0.37,0.34,0.34,0.34,0.36,0.37,0.36,0.35,0.36,0.31,0.32,0.35,0.35,0.36,0.35,0.34,0.32,0.35,0.33,0.31,0.32,0.31,0.34,0.34,0.38,0.46,0.43,0.39,0.35,0.27,0.17,0.23,0.23,-0.8,-3.8,0.1
North Macedonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.07,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,17.2,-6.4,0.0
Norway,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.02,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,-4.6,-0.2,0.0
Poland,2.49,2.52,2.57,2.69,2.83,2.94,3.01,3.15,3.16,3.25,3.5,3.66,3.79,3.97,4.02,4.26,3.79,3.93,3.92,4.09,4.18,4.29,4.44,4.32,4.13,3.28,3.25,3.14,3.11,2.9,2.94,3.01,2.94,2.65,2.54,2.35,2.33,2.28,2.35,2.28,2.31,2.4,2.34,2.31,2.17,2.31,2.3,2.14,2.23,2.07,2.04,2.07,2.08,2.09,1.86,1.72,1.9,1.81,-5.2,-1.7,1.1
Portugal,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.03,0.06,0.08,0.09,0.1,0.12,0.12,0.13,0.14,0.14,0.18,0.16,0.15,0.15,0.16,0.16,0.13,0.15,0.14,0.14,0.14,0.14,0.12,0.11,0.12,0.07,0.09,0.12,0.11,0.11,0.14,0.12,0.14,0.11,0.05,0.02,0.01,0.0,-95.4,-43.9,0.0
Romania,0.18,0.2,0.22,0.24,0.28,0.3,0.32,0.33,0.37,0.39,0.41,0.41,0.42,0.47,0.51,0.52,0.54,0.52,0.6,0.6,0.62,0.63,0.68,0.73,0.73,0.53,0.44,0.43,0.43,0.43,0.44,0.44,0.4,0.34,0.29,0.31,0.32,0.34,0.38,0.38,0.36,0.41,0.41,0.4,0.32,0.29,0.34,0.32,0.25,0.24,0.25,0.22,0.23,0.21,0.21,0.15,0.17,0.17,-2.7,-6.3,0.1
Slovakia,0.25,0.26,0.25,0.26,0.27,0.28,0.29,0.29,0.29,0.28,0.28,0.28,0.29,0.3,0.3,0.34,0.33,0.34,0.34,0.36,0.35,0.33,0.34,0.36,0.35,0.33,0.29,0.26,0.26,0.23,0.23,0.22,0.21,0.19,0.19,0.18,0.19,0.18,0.19,0.19,0.18,0.18,0.17,0.16,0.16,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.11,0.1,0.12,0.11,-10.4,-3.0,0.1
Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.04,0.03,-23.1,-6.4,0.0
Spain,0.41,0.38,0.38,0.39,0.39,0.41,0.41,0.42,0.41,0.4,0.44,0.43,0.46,0.4,0.45,0.52,0.64,0.71,0.75,0.76,0.75,0.78,0.76,0.66,0.81,0.8,0.84,0.85,0.77,0.79,0.79,0.67,0.77,0.73,0.82,0.88,0.8,0.9,0.84,0.88,0.86,0.75,0.84,0.57,0.39,0.29,0.54,0.65,0.48,0.49,0.57,0.44,0.56,0.48,0.21,0.12,0.13,0.17,31.3,-12.6,0.1
Sweden,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.06,0.07,0.08,0.08,0.08,0.06,0.06,0.08,0.07,0.06,0.07,0.09,0.1,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.13,0.11,0.11,0.11,0.11,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.08,0.12,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,6.2,-1.8,0.0
Switzerland,0.05,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3,0.0
Turkey,0.15,0.17,0.15,0.16,0.18,0.19,0.2,0.21,0.22,0.24,0.25,0.26,0.27,0.27,0.28,0.29,0.3,0.34,0.37,0.42,0.5,0.55,0.58,0.56,0.63,0.67,0.72,0.71,0.66,0.66,0.69,0.78,0.87,0.9,0.84,0.94,0.77,0.81,0.87,0.92,0.93,1.1,1.23,1.24,1.29,1.32,1.42,1.53,1.32,1.51,1.45,1.61,1.65,1.71,1.76,1.7,1.74,1.75,0.5,1.4,1.1
Ukraine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56,3.53,3.5,3.3,3.01,3.48,3.09,3.04,2.71,2.16,2.14,1.61,1.57,1.61,1.59,1.61,1.57,1.58,1.62,1.54,1.56,1.68,1.79,1.75,1.5,1.6,1.74,1.79,1.73,1.49,1.14,1.36,1.08,1.17,1.09,0.96,0.95,0.52,-45.6,-11.6,0.3
United Kingdom,4.92,4.68,4.37,4.37,4.26,4.02,3.56,3.12,3.38,2.98,2.99,3.05,3.06,2.98,3.2,2.98,2.96,2.76,2.79,1.98,2.63,2.84,2.91,2.83,2.72,2.72,2.72,2.56,2.23,2.08,1.99,1.86,1.66,1.62,1.44,1.54,1.63,1.5,1.6,1.56,1.59,1.73,1.63,1.51,1.25,1.28,1.29,1.62,1.57,1.26,1.0,0.51,0.41,0.35,0.25,0.23,0.24,0.21,-10.8,-18.4,0.1
Other Europe,0.38,0.37,0.32,0.34,0.33,0.35,0.39,0.38,0.4,0.41,0.44,0.46,0.46,0.51,0.56,0.54,0.62,0.64,0.72,0.79,0.85,0.87,0.84,0.85,0.82,0.66,0.56,0.53,0.48,0.34,0.39,0.41,0.46,0.51,0.42,0.5,0.5,0.53,0.56,0.58,0.53,0.56,0.53,0.57,0.58,0.58,0.66,0.59,0.61,0.5,0.58,0.6,0.59,0.59,0.57,0.59,0.56,0.55,-1.3,-0.7,0.3
