Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Growth rate 2022-2021 in %,Growth rate 2022-2012 in %,Share 2022 in %
Total Europe,21.94,21.05,20.37,20.68,20.95,20.61,19.73,19.06,19.36,19.19,18.74,19.62,19.57,19.93,20.8,21.19,20.83,20.95,21.24,21.21,26.06,25.84,26.05,25.51,25.2,24.0,22.61,21.28,19.89,18.75,18.54,18.02,17.52,17.04,16.09,16.56,16.41,16.4,17.06,16.79,16.4,17.16,17.4,16.41,14.67,15.33,15.95,16.33,15.82,14.86,14.24,13.74,13.28,12.96,11.05,9.55,10.39,10.07,-3.1,-4.7,6.2
Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.2,0.0
Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.1,0.1,0.1,0.1,0.09,0.08,0.07,0.06,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.04,0.05,0.06,0.04,0.04,0.04,8.3,1.6,0.0
Kazakhstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.68,1.74,1.82,1.74,1.62,1.58,1.59,1.45,1.42,1.14,1.02,0.88,0.86,0.8,0.75,0.93,0.95,1.04,1.11,1.13,1.19,1.3,1.41,1.3,1.4,1.52,1.58,1.57,1.55,1.14,1.34,1.47,1.52,1.44,1.37,1.4,1.44,2.2,-1.0,0.9
Russian Federation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.29,8.52,8.65,8.52,8.24,7.63,6.99,6.57,5.93,5.19,5.0,4.91,4.52,4.24,4.27,4.43,4.32,4.34,4.36,4.18,3.96,4.06,3.93,4.22,3.86,3.79,3.94,4.12,3.79,3.67,3.86,3.74,3.51,3.63,3.57,3.29,3.43,3.19,-6.8,-2.5,2.0
Turkmenistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USSR,12.45,12.91,13.11,12.99,13.18,13.07,13.33,13.71,13.85,13.92,14.32,14.3,14.56,14.47,14.58,14.13,14.04,14.26,14.29,14.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.06,0.06,0.07,0.08,0.07,0.06,0.04,0.05,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.04,0.05,0.07,0.07,0.05,0.06,0.06,0.09,0.08,0.1,0.09,0.1,11.1,8.0,0.1
Other CIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.23,0.23,0.2,0.19,0.18,0.16,0.1,0.08,0.08,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.06,0.07,0.08,0.08,0.09,0.09,0.09,0.09,0.1,0.1,3.6,6.4,0.1
Total CIS,12.45,12.91,13.11,12.99,13.18,13.07,13.33,13.71,13.85,13.92,14.32,14.3,14.56,14.47,14.58,14.13,14.04,14.26,14.29,14.16,10.28,10.61,10.8,10.72,10.35,9.62,8.91,8.39,7.57,6.77,6.26,6.05,5.52,5.21,5.18,5.28,5.33,5.38,5.5,5.39,5.18,5.35,5.33,5.74,5.26,5.29,5.57,5.84,5.52,5.39,5.17,5.25,5.16,5.38,5.23,4.88,5.05,4.87,-3.6,-1.8,3.0
Iran,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.05,0.05,0.05,0.03,0.05,0.05,0.04,0.06,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.07,0.06,0.07,0.05,0.03,0.05,0.05,0.04,0.03,0.04,0.05,0.04,0.04,0.06,0.07,0.08,0.07,0.08,8.0,7.1,0.0
Iraq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Israel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.07,0.08,0.09,0.09,0.09,0.09,0.1,0.11,0.13,0.15,0.16,0.17,0.21,0.23,0.24,0.24,0.26,0.3,0.32,0.33,0.33,0.33,0.33,0.34,0.33,0.32,0.32,0.33,0.37,0.3,0.28,0.27,0.23,0.21,0.2,0.21,0.18,0.16,0.16,-1.2,-8.2,0.1
Kuwait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,66.4,5.2,0.0
Oman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0
Qatar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,8.1,0.0
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0
United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.06,0.07,0.08,0.07,0.08,0.09,0.08,0.07,0.09,0.1,0.1,3.8,5.9,0.1
Other Middle East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,25.4,-0.3,0.0
Total Middle East,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.05,0.05,0.05,0.03,0.05,0.05,0.04,0.08,0.1,0.11,0.12,0.13,0.13,0.13,0.12,0.13,0.15,0.17,0.2,0.21,0.22,0.26,0.28,0.3,0.3,0.32,0.36,0.38,0.4,0.4,0.41,0.41,0.42,0.41,0.38,0.41,0.42,0.5,0.44,0.44,0.42,0.38,0.38,0.37,0.38,0.37,0.36,0.37,3.9,-2.8,0.2
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.02,0.04,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.02,0.02,0.01,0.01,0.01,-51.8,-7.8,0.0
Egypt,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.05,0.05,0.09,0.08,0.03,0.05,0.05,1.1,12.2,0.0
Morocco,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.07,0.09,0.08,0.1,0.1,0.11,0.14,0.14,0.14,0.15,0.16,0.16,0.14,0.15,0.11,0.12,0.12,0.13,0.13,0.17,0.19,0.18,0.19,0.22,0.28,0.28,0.31,0.28,-9.1,8.3,0.2
South Africa,1.03,1.02,1.05,1.1,1.11,1.15,1.22,1.23,1.31,1.38,1.47,1.54,1.6,1.55,1.66,1.79,2.12,2.32,2.36,2.54,2.61,2.65,2.69,2.92,2.72,2.82,2.77,2.78,2.79,2.88,2.99,3.03,3.1,3.01,3.14,3.12,3.14,2.98,3.32,3.63,3.35,3.41,3.5,3.91,3.93,3.89,3.79,3.7,3.7,3.75,3.52,3.78,3.72,3.53,3.76,3.66,3.51,3.31,-5.6,-1.1,2.1
Eastern Africa,0.08,0.09,0.09,0.09,0.09,0.1,0.11,0.1,0.11,0.1,0.09,0.12,0.1,0.09,0.09,0.1,0.09,0.09,0.1,0.09,0.1,0.11,0.13,0.14,0.13,0.19,0.15,0.16,0.19,0.17,0.17,0.15,0.17,0.16,0.14,0.13,0.14,0.13,0.11,0.13,0.12,0.1,0.1,0.07,0.09,0.12,0.13,0.11,0.16,0.24,0.21,0.16,0.2,0.22,0.19,0.18,0.19,0.21,8.6,7.1,0.1
Middle Africa,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,8.6,16.3,0.0
Western Africa,0.02,0.02,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,-5.2,7.4,0.0
Other Northern Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.6,0.0
Other Southern Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.03,0.04,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.06,0.05,0.06,0.08,18.6,3.7,0.0
Total Africa,1.16,1.16,1.19,1.24,1.25,1.3,1.38,1.38,1.47,1.53,1.62,1.73,1.77,1.72,1.83,1.96,2.29,2.52,2.57,2.75,2.83,2.9,2.98,3.2,3.01,3.16,3.07,3.09,3.14,3.22,3.32,3.37,3.45,3.37,3.48,3.47,3.51,3.36,3.66,4.03,3.74,3.79,3.86,4.25,4.23,4.2,4.13,4.03,4.07,4.26,4.03,4.27,4.27,4.19,4.43,4.24,4.18,3.97,-4.8,-0.1,2.5
Australia,0.73,0.75,0.77,0.8,0.83,0.83,0.84,0.87,0.91,0.95,0.98,1.01,1.06,1.09,1.14,1.17,1.2,1.21,1.21,1.28,1.33,1.36,1.42,1.49,1.56,1.6,1.63,1.64,1.65,1.69,1.74,1.81,1.91,1.99,2.11,2.13,2.11,2.16,2.22,2.31,2.3,2.36,2.34,2.44,2.36,2.19,2.13,2.0,1.89,1.88,1.95,1.94,1.88,1.83,1.75,1.68,1.63,1.55,-4.8,-2.5,1.0
Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.02,0.01,0.01,0.03,0.05,0.04,0.04,0.05,0.03,0.05,0.04,0.05,0.03,0.11,0.08,0.09,0.1,0.17,0.19,0.15,0.18,18.0,16.7,0.1
China,4.79,5.12,4.56,4.52,5.46,6.95,8.01,8.47,8.58,8.49,9.57,9.8,10.78,11.84,12.25,12.74,12.67,13.41,14.36,15.62,17.05,17.83,19.34,20.78,21.77,22.08,23.16,24.23,25.81,27.51,27.85,29.14,28.55,28.34,29.16,29.56,31.09,34.08,40.62,47.36,55.46,60.91,66.33,67.38,70.58,73.23,79.72,80.72,82.45,82.1,80.38,78.03,78.9,80.47,82.52,84.25,87.54,88.41,1.0,0.9,54.8
China Hong Kong SAR,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.09,0.11,0.14,0.16,0.21,0.24,0.26,0.23,0.25,0.26,0.3,0.22,0.23,0.17,0.15,0.18,0.16,0.18,0.29,0.22,0.28,0.26,0.29,0.29,0.31,0.29,0.3,0.26,0.31,0.31,0.33,0.34,0.28,0.28,0.26,0.27,0.26,0.14,0.15,0.15,-1.6,-6.8,0.1
India,1.49,1.48,1.51,1.56,1.66,1.57,1.59,1.68,1.66,1.88,2.02,2.1,2.2,2.13,2.26,2.37,2.67,2.64,2.8,2.95,3.09,3.32,3.64,3.91,4.25,4.59,4.89,5.18,5.36,5.53,5.87,6.04,6.32,6.53,6.47,6.88,6.94,7.25,7.59,8.08,8.84,9.18,10.04,10.87,11.77,12.05,12.52,13.64,14.44,15.84,16.17,16.52,17.05,17.93,17.96,16.97,19.3,20.09,4.1,4.0,12.4
Indonesia,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.06,0.09,0.1,0.15,0.14,0.14,0.18,0.21,0.21,0.23,0.27,0.33,0.36,0.49,0.55,0.7,0.72,0.97,0.89,1.02,1.19,1.5,1.32,1.36,1.55,1.79,1.82,1.59,1.69,1.92,1.96,2.04,2.36,2.88,2.76,2.75,4.38,59.4,9.2,2.7
Japan,2.04,2.17,2.39,2.46,2.62,2.53,2.3,2.24,2.37,2.51,2.35,2.3,2.17,1.96,2.1,2.44,2.73,2.61,2.57,2.87,3.0,2.86,2.91,3.15,3.15,3.27,3.24,3.19,3.25,3.4,3.53,3.62,3.72,3.54,3.73,4.0,4.09,4.35,4.47,4.59,4.81,4.72,4.96,5.09,4.27,4.87,4.62,4.88,5.07,4.99,5.03,5.02,5.1,4.99,4.91,4.57,4.93,4.92,-0.3,0.1,3.0
Malaysia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.06,0.07,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.1,0.12,0.15,0.22,0.28,0.29,0.31,0.37,0.41,0.44,0.62,0.62,0.66,0.63,0.64,0.73,0.78,0.87,0.93,0.88,1.04,0.94,0.94,-0.7,3.5,0.6
New Zealand,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.08,0.09,0.1,0.09,0.07,0.09,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.06,0.06,0.06,0.07,0.05,-30.8,-4.5,0.0
Pakistan,0.06,0.05,0.05,0.05,0.05,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.05,0.06,0.06,0.07,0.07,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.1,0.13,0.14,0.16,0.17,0.23,0.25,0.21,0.19,0.17,0.17,0.13,0.2,0.2,0.22,0.3,0.5,0.56,0.65,0.72,0.64,-11.8,14.2,0.4
Philippines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.02,0.03,0.05,0.04,0.04,0.05,0.04,0.05,0.06,0.06,0.06,0.06,0.07,0.09,0.11,0.12,0.14,0.19,0.19,0.18,0.18,0.19,0.22,0.21,0.23,0.27,0.25,0.29,0.32,0.34,0.42,0.45,0.49,0.55,0.65,0.68,0.73,0.73,0.79,0.84,5.9,9.5,0.5
Singapore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.02,-10.8,32.5,0.0
South Korea,0.21,0.23,0.22,0.21,0.22,0.24,0.24,0.24,0.31,0.32,0.34,0.38,0.41,0.41,0.5,0.55,0.64,0.65,0.69,0.83,0.92,0.98,0.99,1.05,1.03,1.01,1.01,0.99,1.08,1.11,1.15,1.34,1.46,1.51,1.6,1.8,1.91,2.06,2.14,2.23,2.29,2.37,2.5,2.77,2.87,3.23,3.5,3.38,3.41,3.53,3.58,3.41,3.61,3.63,3.44,3.02,3.04,2.87,-5.3,-1.6,1.8
Sri Lanka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.04,0.05,0.05,0.06,0.05,0.06,0.07,0.07,0.06,-9.7,12.4,0.0
Taiwan,0.12,0.12,0.13,0.13,0.12,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.1,0.11,0.14,0.16,0.15,0.17,0.23,0.27,0.29,0.35,0.38,0.44,0.46,0.45,0.5,0.57,0.64,0.67,0.69,0.78,0.89,0.97,1.0,1.18,1.23,1.34,1.43,1.48,1.51,1.59,1.66,1.59,1.52,1.63,1.69,1.65,1.68,1.7,1.65,1.67,1.7,1.7,1.67,1.56,1.68,1.58,-5.7,-0.4,1.0
Thailand,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.07,0.07,0.09,0.1,0.12,0.16,0.19,0.2,0.23,0.26,0.3,0.37,0.38,0.3,0.32,0.33,0.37,0.39,0.4,0.45,0.49,0.52,0.58,0.63,0.63,0.65,0.66,0.69,0.68,0.75,0.73,0.75,0.75,0.8,0.71,0.76,0.78,0.71,-9.1,0.3,0.4
Vietnam,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.05,0.06,0.08,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.12,0.12,0.12,0.12,0.13,0.14,0.14,0.11,0.09,0.09,0.09,0.09,0.1,0.13,0.14,0.19,0.2,0.15,0.2,0.21,0.25,0.29,0.37,0.39,0.24,0.26,0.5,0.47,0.61,0.73,0.67,0.72,0.87,1.1,1.19,1.19,1.58,2.09,2.2,2.16,2.05,-5.0,11.8,1.3
Other Asia Pacific,0.45,0.49,0.53,0.58,0.63,0.68,0.76,0.78,0.8,0.83,0.87,0.92,0.98,1.04,1.1,1.17,1.21,1.28,1.33,1.37,1.44,1.43,1.37,1.39,1.38,1.3,1.28,1.11,1.02,0.94,0.87,0.76,0.74,0.68,0.76,0.82,0.85,0.81,0.83,0.83,0.89,0.91,0.78,0.85,0.68,0.67,0.56,0.58,0.45,0.52,0.5,0.62,0.96,0.96,1.06,1.04,1.07,1.06,-1.0,6.2,0.7
Total Asia Pacific,10.01,10.55,10.28,10.43,11.7,13.07,13.99,14.53,14.88,15.25,16.41,16.8,17.91,18.79,19.7,20.82,21.51,22.27,23.57,25.62,27.64,28.7,30.77,32.97,34.45,35.2,36.65,37.91,39.91,41.91,42.89,44.77,44.98,44.94,46.31,48.07,50.27,54.12,61.86,69.57,79.08,85.1,92.2,94.78,97.83,102.13,109.45,111.63,114.04,115.64,114.93,113.16,115.48,118.88,121.75,121.73,127.78,130.5,2.1,1.6,80.8
Total World,58.1,58.77,57.82,58.68,60.48,61.41,61.08,61.77,63.6,63.66,64.89,67.28,69.27,70.05,73.31,75.09,76.14,76.99,79.37,82.8,86.36,87.33,90.76,93.48,94.38,93.26,92.37,92.01,92.48,92.84,93.48,95.71,95.54,94.94,95.35,98.76,100.31,104.27,113.42,121.27,130.26,137.05,144.83,146.81,144.52,150.97,158.03,158.48,160.81,161.49,157.21,153.77,155.27,157.66,156.72,152.04,160.43,161.47,0.6,0.2,100.0
of which: OECD,36.59,36.43,35.75,36.54,37.02,36.48,34.6,34.34,35.75,35.46,34.82,36.74,37.22,36.95,39.22,40.59,41.03,40.52,41.34,43.09,44.92,44.36,45.56,46.46,46.8,45.59,44.63,43.52,43.29,43.29,43.52,44.88,45.25,45.0,44.57,46.46,45.93,46.52,47.61,47.82,48.14,48.55,49.31,48.44,43.34,45.98,45.09,43.27,43.65,42.95,40.26,38.0,37.72,36.39,32.27,27.58,29.94,28.9,-3.5,-3.9,17.9
                 Non-OECD,21.52,22.34,22.07,22.14,23.46,24.93,26.48,27.43,27.86,28.19,30.07,30.54,32.05,33.09,34.09,34.49,35.11,36.46,38.03,39.71,41.44,42.97,45.21,47.02,47.58,47.67,47.74,48.49,49.19,49.55,49.95,50.83,50.29,49.94,50.77,52.3,54.39,57.74,65.82,73.45,82.12,88.5,95.52,98.37,101.18,104.99,112.94,115.21,117.16,118.54,116.95,115.77,117.55,121.27,124.45,124.46,130.49,132.58,1.6,1.4,82.1
                 European Union#,16.41,15.76,15.46,15.74,16.12,15.98,15.53,15.29,15.31,15.51,15.01,15.8,15.74,16.13,16.71,17.33,16.89,17.16,17.3,17.95,18.45,17.99,18.16,17.92,17.97,16.37,15.43,14.35,13.72,13.4,13.23,13.26,12.86,12.28,11.7,11.86,11.83,11.89,12.3,12.08,11.69,12.0,12.12,11.23,9.96,10.45,10.75,10.7,10.5,10.0,9.98,9.58,9.46,9.06,7.3,6.02,6.84,6.98,2.0,-4.2,4.3
