Natural Gas: Consumption*,,,,,,,,,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.32,0.39,0.41,0.43,0.44,0.47,0.50,0.51,0.49,0.35,0.41,0.34,0.27,0.27,0.30,0.17,0.15,0.15,0.17,0.19,0.22,0.24,0.29,0.31,0.29,0.32,0.36,0.39,0.40,0.53,0.50,0.54,0.60,0.60,0.71,0.64,0.78,0.78,0.4%,7.3%,0.6%
Russian Federation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.82,12.97,13.72,14.47,14.69,14.91,15.30,14.81,14.77,13.87,13.41,13.48,12.43,12.94,12.90,13.18,13.40,13.56,13.88,14.24,14.41,15.18,15.44,15.22,14.32,15.26,15.68,15.43,15.30,15.20,14.71,15.14,15.52,16.36,16.00,15.25,17.09,14.69,-14.0%,-0.5%,10.4%
Turkmenistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.29,0.48,0.47,0.48,0.50,0.33,0.33,0.32,0.32,0.35,0.27,0.43,0.30,0.37,0.33,0.26,0.38,0.27,0.42,0.41,0.42,0.43,0.40,0.28,0.62,0.66,0.75,0.83,0.70,0.72,0.91,0.90,0.89,1.02,1.00,1.23,1.32,1.35,2.1%,5.0%,1.0%
USSR,4.38,4.89,5.38,5.81,6.21,6.82,7.46,7.84,8.53,9.04,9.87,10.86,11.64,12.41,13.17,13.57,14.37,15.52,16.64,18.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Uzbekistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.12,1.08,1.13,1.12,1.18,1.26,1.26,1.27,1.39,1.41,1.44,1.50,1.47,1.48,1.71,1.75,1.77,1.82,1.64,1.66,1.69,1.56,1.69,1.59,1.59,1.59,1.70,1.66,1.66,1.75,1.67,1.56,1.61,1.60,1.61,1.57,1.67,1.74,3.9%,0.4%,1.2%
Other CIS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.28,0.27,0.30,0.39,0.44,0.40,0.33,0.30,0.22,0.19,0.18,0.20,0.21,0.22,0.17,0.16,0.17,0.16,0.14,0.17,0.18,0.19,0.21,0.21,0.19,0.19,0.20,0.21,0.17,0.19,0.19,0.19,0.18,0.21,0.20,0.21,0.21,0.18,-13.0%,-1.2%,0.1%
Total CIS,4.38,4.89,5.38,5.81,6.21,6.82,7.46,7.84,8.53,9.04,9.87,10.86,11.64,12.41,13.17,13.57,14.37,15.52,16.64,18.16,15.63,16.04,16.91,17.82,18.22,18.40,18.74,18.19,18.01,16.91,16.41,16.60,15.39,15.97,16.14,16.26,16.68,16.79,17.08,17.67,17.95,18.66,19.05,18.69,17.92,19.05,19.70,19.55,19.26,19.43,19.02,19.37,19.84,20.88,20.62,19.98,22.21,19.84,-10.6%,0.2%,14.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,0.03,0.03,0.03,0.03,0.04,0.09,0.11,0.12,0.15,0.15,0.15,0.17,0.18,0.14,0.18,0.16,0.18,0.24,0.28,0.32,0.35,0.33,0.41,0.45,0.56,0.82,0.96,1.10,0.59,0.94,1.15,1.35,1.43,1.66,1.98,2.14,2.40,2.82,2.89,3.36,3.49,3.81,4.27,4.53,4.85,5.20,5.51,5.49,5.54,6.24,6.62,7.07,7.38,7.66,7.86,8.52,8.51,8.24,-3.2%,4.1%,5.8%
Iraq,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.06,0.04,0.04,0.06,0.04,0.02,0.02,0.02,0.02,0.03,0.05,0.13,0.19,0.22,0.14,0.06,0.08,0.09,0.11,0.11,0.11,0.10,0.10,0.11,0.11,0.09,0.08,0.05,0.03,0.05,0.05,0.16,0.23,0.25,0.26,0.23,0.23,0.25,0.27,0.26,0.36,0.41,0.53,0.70,0.67,0.61,0.68,12.0%,11.5%,0.5%
Israel,^,^,^,^,0.01,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.04,0.06,0.08,0.09,0.13,0.14,0.18,0.17,0.09,0.24,0.26,0.29,0.33,0.36,0.38,0.39,0.41,0.42,0.41,-3.2%,16.5%,0.3%
Kuwait,0.06,0.08,0.09,0.11,0.13,0.07,0.07,0.09,0.10,0.10,0.11,0.13,0.14,0.16,0.21,0.14,0.16,0.13,0.14,0.15,0.14,0.20,0.16,0.23,0.28,0.14,0.02,0.09,0.19,0.20,0.32,0.32,0.32,0.32,0.30,0.33,0.32,0.30,0.34,0.37,0.42,0.42,0.39,0.43,0.43,0.50,0.57,0.63,0.64,0.64,0.73,0.76,0.76,0.76,0.66,0.64,0.71,0.78,10.3%,2.2%,0.6%
Oman,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.06,0.07,0.08,0.08,0.08,0.09,0.09,0.10,0.09,0.10,0.12,0.13,0.15,0.16,0.17,0.28,0.30,0.32,0.34,0.31,0.39,0.43,0.44,0.48,0.49,0.59,0.65,0.71,0.78,0.77,0.83,0.82,0.84,0.90,0.90,0.93,1.01,1.03,2.0%,3.8%,0.7%
Qatar,^,^,^,0.02,0.03,0.04,0.04,0.04,0.06,0.05,0.07,0.04,0.06,0.06,0.16,0.18,0.16,0.19,0.20,0.22,0.20,0.22,0.21,0.22,0.23,0.23,0.28,0.47,0.50,0.50,0.50,0.35,0.37,0.40,0.46,0.41,0.38,0.41,0.47,0.57,0.64,0.64,0.69,0.75,0.77,0.91,1.04,1.21,1.27,1.38,1.56,1.49,1.48,1.47,1.51,1.39,1.44,1.32,-8.3%,0.9%,0.9%
Saudi Arabia,0.02,0.03,0.03,0.04,0.05,0.06,0.05,0.05,0.06,0.08,0.09,0.10,0.14,0.19,0.24,0.33,0.39,0.41,0.40,0.62,0.64,0.86,0.92,1.00,1.02,1.15,1.20,1.31,1.37,1.46,1.47,1.52,1.55,1.60,1.58,1.70,1.84,1.94,2.05,2.25,2.44,2.51,2.55,2.75,2.68,3.00,3.16,3.40,3.42,3.50,3.57,3.79,3.93,4.04,4.00,4.07,4.12,4.33,5.2%,2.5%,3.1%
United Arab Emirates,-,-,0.02,0.02,0.02,0.03,0.05,0.05,0.06,0.06,0.06,0.07,0.12,0.14,0.15,0.17,0.22,0.23,0.21,0.29,0.36,0.43,0.49,0.50,0.61,0.59,0.71,0.66,0.69,0.80,0.87,0.95,1.02,1.07,1.10,1.10,1.13,1.28,1.33,1.41,1.48,1.52,1.73,2.09,2.07,2.13,2.22,2.30,2.33,2.28,2.57,2.59,2.42,2.38,2.51,2.33,2.55,2.51,-1.3%,0.9%,1.8%
Other Middle East,^,^,^,0.01,0.01,0.02,0.03,0.04,0.06,0.07,0.08,0.08,0.09,0.10,0.11,0.09,0.08,0.13,0.14,0.14,0.18,0.21,0.20,0.23,0.26,0.28,0.28,0.32,0.33,0.35,0.37,0.39,0.46,0.52,0.53,0.53,0.55,0.58,0.63,0.60,0.62,0.68,0.70,0.75,0.81,0.92,0.79,0.74,0.77,0.75,0.81,0.83,0.84,0.79,0.83,0.84,0.87,0.87,0.7%,1.7%,0.6%
Total Middle East,0.14,0.17,0.20,0.26,0.31,0.34,0.38,0.43,0.52,0.55,0.61,0.66,0.77,0.84,1.14,1.14,1.24,1.38,1.41,1.82,1.96,2.37,2.60,2.89,3.26,3.44,3.60,4.12,3.86,4.46,4.91,5.12,5.41,5.84,6.23,6.60,7.01,7.73,8.11,8.94,9.59,10.15,11.01,12.14,12.49,13.70,14.35,14.80,15.24,16.11,17.26,18.04,18.42,18.89,19.36,19.80,20.23,20.18,-0.3%,3.2%,14.2%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.06,0.07,0.10,0.12,0.13,0.21,0.29,0.39,0.51,0.58,0.64,0.56,0.55,0.61,0.62,0.70,0.66,0.70,0.69,0.72,0.64,0.68,0.73,0.75,0.70,0.72,0.74,0.69,0.71,0.70,0.74,0.76,0.80,0.82,0.84,0.88,0.94,0.91,0.96,1.08,1.16,1.30,1.37,1.39,1.42,1.56,1.62,1.56,1.72,1.59,-7.2%,4.0%,1.1%
Egypt,^,^,^,^,^,^,^,^,^,^,^,0.01,0.02,0.03,0.04,0.08,0.08,0.09,0.11,0.14,0.17,0.20,0.22,0.24,0.27,0.28,0.31,0.34,0.39,0.42,0.44,0.45,0.46,0.47,0.57,0.69,0.85,0.92,1.03,1.10,1.09,1.26,1.33,1.42,1.47,1.56,1.72,1.82,1.78,1.66,1.66,1.78,2.01,2.15,2.13,2.10,2.24,2.19,-2.3%,1.8%,1.5%
Morocco,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.01,-71.8%,-15.8%,♦
South Africa,-,-,-,-,-,-,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07,0.07,0.07,0.05,0.05,0.05,0.04,0.03,0.03,0.04,0.04,0.05,0.05,0.04,0.09,0.12,0.13,0.14,0.14,0.12,0.15,0.15,0.16,0.15,0.15,0.16,0.13,0.14,0.16,0.15,0.14,0.17,0.16,-1.2%,0.5%,0.1%
Eastern Africa,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.05,0.06,0.07,0.07,0.08,0.09,0.08,0.10,0.10,7.0%,10.0%,0.1%
Middle Africa,^,^,^,^,^,^,^,0.01,0.02,0.02,0.01,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.03,0.08,0.08,0.08,0.07,0.07,0.07,0.10,0.11,0.13,0.15,0.14,0.16,0.20,0.20,0.20,0.18,0.19,0.21,0.19,-10.6%,3.7%,0.1%
Western Africa,^,0.01,0.01,0.01,^,^,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.06,0.08,0.09,0.10,0.10,0.09,0.11,0.10,0.13,0.15,0.14,0.13,0.15,0.17,0.15,0.17,0.21,0.20,0.25,0.18,0.26,0.33,0.40,0.42,0.40,0.41,0.36,0.45,0.42,0.31,0.31,0.44,0.47,0.46,0.58,0.86,0.76,0.80,0.85,0.88,0.93,0.98,0.95,-2.7%,7.4%,0.7%
Other Northern Africa,^,^,^,^,^,0.01,0.01,0.02,0.04,0.04,0.06,0.05,0.06,0.07,0.14,0.13,0.12,0.11,0.11,0.12,0.16,0.19,0.19,0.19,0.24,0.22,0.21,0.22,0.22,0.24,0.26,0.27,0.28,0.29,0.26,0.29,0.32,0.31,0.30,0.38,0.37,0.34,0.37,0.40,0.42,0.44,0.37,0.39,0.44,0.41,0.48,0.56,0.53,0.53,0.50,0.49,0.62,0.65,3.9%,5.1%,0.5%
Other Southern Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Total Africa,0.03,0.04,0.04,0.04,0.05,0.06,0.07,0.09,0.14,0.16,0.19,0.22,0.25,0.35,0.54,0.67,0.82,0.89,0.98,0.94,1.00,1.13,1.16,1.29,1.34,1.44,1.45,1.52,1.49,1.55,1.66,1.74,1.71,1.80,1.81,2.00,2.28,2.41,2.56,2.82,2.91,3.04,3.24,3.37,3.39,3.53,3.82,4.13,4.21,4.33,4.78,4.94,5.22,5.56,5.59,5.53,6.06,5.85,-3.5%,3.5%,4.1%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,^,^,^,^,0.01,0.06,0.09,0.13,0.17,0.19,0.21,0.25,0.28,0.30,0.35,0.40,0.43,0.42,0.46,0.45,0.48,0.53,0.54,0.55,0.60,0.60,0.58,0.60,0.62,0.69,0.70,0.70,0.69,0.71,0.73,0.74,0.80,0.82,0.83,0.84,0.84,0.93,1.04,1.03,1.05,1.14,1.19,1.20,1.26,1.35,1.40,1.37,1.34,1.34,1.59,1.53,1.44,1.50,4.3%,2.3%,1.1%
Bangladesh,-,-,-,-,-,-,0.01,0.01,0.02,0.03,0.02,0.03,0.03,0.03,0.04,0.04,0.05,0.06,0.07,0.08,0.09,0.10,0.12,0.14,0.15,0.16,0.17,0.18,0.21,0.22,0.24,0.26,0.26,0.28,0.30,0.33,0.37,0.38,0.41,0.44,0.48,0.52,0.55,0.59,0.67,0.69,0.70,0.77,0.79,0.83,0.93,0.95,0.96,0.99,1.11,1.08,1.10,1.05,-4.6%,3.2%,0.7%
China,0.04,0.05,0.05,0.05,0.07,0.10,0.14,0.18,0.22,0.27,0.32,0.37,0.44,0.50,0.53,0.52,0.46,0.43,0.44,0.45,0.47,0.50,0.50,0.52,0.55,0.56,0.56,0.57,0.61,0.64,0.64,0.67,0.71,0.73,0.78,0.89,1.00,1.06,1.23,1.44,1.69,2.08,2.56,2.95,3.25,3.92,4.87,5.43,6.19,6.78,7.01,7.54,8.69,10.22,11.10,12.12,13.69,13.53,-1.2%,9.6%,9.5%
China Hong Kong SAR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,0.07,0.11,0.10,0.11,0.10,0.10,0.10,0.06,0.09,0.09,0.10,0.09,0.11,0.10,0.13,0.10,0.09,0.09,0.09,0.11,0.11,0.11,0.11,0.11,0.18,0.17,0.16,-6.4%,5.5%,0.1%
India,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.05,0.05,0.06,0.07,0.04,0.07,0.09,0.11,0.13,0.16,0.22,0.25,0.29,0.35,0.42,0.46,0.52,0.53,0.57,0.65,0.71,0.77,0.85,0.87,0.91,0.92,0.96,1.02,1.10,1.24,1.29,1.40,1.44,1.77,2.12,2.17,2.01,1.76,1.75,1.72,1.83,1.93,2.09,2.13,2.17,2.24,2.09,-6.3%,0.4%,1.5%
Indonesia,0.02,0.02,0.02,0.02,0.04,0.05,0.05,0.04,0.03,0.04,0.09,0.09,0.18,0.21,0.27,0.26,0.26,0.24,0.33,0.38,0.45,0.49,0.50,0.53,0.60,0.62,0.71,0.78,0.82,0.97,1.03,1.07,1.12,1.08,1.17,1.19,1.23,1.34,1.42,1.30,1.31,1.34,1.25,1.43,1.52,1.59,1.54,1.55,1.60,1.59,1.65,1.61,1.56,1.60,1.58,1.35,1.33,1.33,-0.2%,-1.5%,0.9%
Japan,0.07,0.07,0.07,0.08,0.08,0.13,0.14,0.14,0.19,0.26,0.31,0.38,0.46,0.65,0.77,0.91,0.91,0.93,1.00,1.35,1.44,1.47,1.50,1.60,1.66,1.81,1.92,1.99,2.00,2.14,2.18,2.33,2.42,2.49,2.62,2.72,2.80,2.74,3.01,2.90,2.98,3.19,3.43,3.57,3.33,3.60,4.03,4.44,4.45,4.49,4.27,4.19,4.21,4.17,3.89,3.75,3.73,3.62,-3.0%,-2.0%,2.5%
Malaysia,-,-,-,-,-,^,^,^,^,0.01,0.01,0.01,0.01,0.08,0.11,0.09,0.08,0.10,0.14,0.17,0.17,0.26,0.26,0.26,0.30,0.28,0.42,0.46,0.45,0.47,0.49,0.59,0.73,0.74,0.84,1.04,1.00,1.01,1.09,1.18,1.35,1.40,1.45,1.57,1.44,1.37,1.38,1.51,1.60,1.61,1.69,1.62,1.62,1.61,1.63,1.57,1.78,1.78,-0.1%,1.6%,1.3%
New Zealand,-,-,-,-,-,^,^,0.01,0.01,0.01,0.01,0.03,0.06,0.05,0.03,0.03,0.04,0.07,0.08,0.10,0.12,0.15,0.14,0.16,0.16,0.16,0.17,0.18,0.18,0.17,0.16,0.18,0.20,0.17,0.20,0.21,0.22,0.21,0.16,0.15,0.14,0.14,0.15,0.14,0.14,0.16,0.14,0.16,0.17,0.19,0.17,0.17,0.18,0.16,0.17,0.16,0.14,0.13,-6.5%,-2.1%,0.1%
Pakistan,0.05,0.06,0.07,0.08,0.10,0.10,0.09,0.10,0.12,0.13,0.14,0.14,0.15,0.16,0.18,0.22,0.24,0.26,0.25,0.26,0.27,0.28,0.30,0.32,0.34,0.37,0.40,0.39,0.45,0.46,0.47,0.51,0.51,0.54,0.61,0.65,0.68,0.74,0.92,1.10,1.17,1.20,1.22,1.25,1.25,1.27,1.27,1.32,1.28,1.26,1.32,1.39,1.47,1.57,1.60,1.48,1.62,1.38,-14.5%,0.5%,1.0%
Philippines,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,0.06,0.09,0.09,0.11,0.11,0.13,0.13,0.13,0.13,0.14,0.13,0.12,0.13,0.12,0.14,0.14,0.15,0.15,0.14,0.12,0.11,-4.0%,-1.7%,0.1%
Singapore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.16,0.17,0.18,0.22,0.22,0.29,0.29,0.31,0.33,0.30,0.30,0.32,0.36,0.37,0.42,0.43,0.44,0.44,0.45,0.45,0.48,0.47,-2.2%,3.9%,0.3%
South Korea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,0.08,0.10,0.10,0.11,0.13,0.17,0.22,0.29,0.35,0.46,0.56,0.52,0.63,0.71,0.78,0.87,0.91,1.07,1.14,1.21,1.31,1.34,1.28,1.62,1.74,1.89,1.98,1.80,1.64,1.72,1.79,2.08,2.02,2.07,2.25,2.23,-0.8%,1.7%,1.6%
Sri Lanka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Taiwan,0.01,0.01,0.01,0.02,0.02,0.02,0.04,0.05,0.05,0.06,0.06,0.07,0.08,0.07,0.07,0.07,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.05,0.08,0.11,0.11,0.12,0.14,0.16,0.16,0.19,0.22,0.23,0.24,0.26,0.29,0.30,0.37,0.37,0.40,0.42,0.46,0.45,0.56,0.61,0.64,0.65,0.68,0.73,0.75,0.84,0.85,0.84,0.90,0.98,1.01,2.8%,4.6%,0.7%
Thailand,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0.05,0.06,0.09,0.12,0.13,0.17,0.21,0.20,0.22,0.27,0.29,0.33,0.37,0.38,0.44,0.56,0.59,0.66,0.76,0.88,0.96,1.02,1.07,1.15,1.19,1.27,1.33,1.37,1.56,1.60,1.75,1.76,1.80,1.83,1.82,1.80,1.80,1.83,1.69,1.69,1.60,-5.7%,-0.9%,1.1%
Vietnam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.05,0.06,0.07,0.08,0.08,0.14,0.22,0.24,0.25,0.26,0.28,0.33,0.29,0.32,0.34,0.35,0.37,0.37,0.34,0.35,0.35,0.32,0.26,0.28,8.3%,-1.5%,0.2%
Other Asia Pacific,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.07,0.06,0.05,0.06,0.04,0.06,0.07,0.08,0.08,0.09,0.09,0.10,0.11,0.11,0.10,0.07,0.07,0.08,0.10,0.11,0.12,0.15,0.13,0.15,0.13,0.13,0.13,0.13,0.12,0.16,0.17,0.18,0.20,0.22,0.22,0.19,0.23,0.25,0.31,0.31,0.37,0.42,0.40,0.41,0.39,0.41,0.42,0.41,0.39,-6.3%,2.3%,0.3%
Total Asia Pacific,0.20,0.22,0.26,0.28,0.37,0.51,0.61,0.71,0.88,1.10,1.26,1.46,1.80,2.15,2.46,2.64,2.68,2.79,3.08,3.60,3.91,4.27,4.53,4.84,5.14,5.46,5.99,6.40,6.71,7.30,7.65,8.35,9.02,9.23,9.97,10.74,11.40,11.91,12.92,13.69,14.69,15.81,17.03,18.13,18.55,20.71,22.33,23.84,24.71,25.43,25.80,26.41,27.82,29.91,30.98,31.38,33.43,32.65,-2.3%,3.2%,23.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total World,22.69,24.73,26.55,28.96,31.80,34.61,37.06,39.10,40.96,41.98,41.98,44.47,45.94,47.86,50.82,51.25,51.83,52.09,52.93,57.25,58.54,59.12,62.21,65.12,68.00,70.13,71.90,72.23,72.96,73.40,75.98,79.77,79.31,80.76,83.06,86.38,87.54,90.11,92.63,96.20,98.78,101.38,105.54,108.09,105.86,113.74,116.46,119.53,121.47,122.32,125.24,128.13,131.48,138.08,140.61,138.97,146.41,141.89,-3.1%,1.7%,100.0%
of which: OECD,17.01,18.41,19.57,21.40,23.60,25.66,27.29,28.77,29.57,29.81,28.69,29.77,29.96,30.71,32.21,31.94,31.37,30.02,29.39,31.52,31.77,30.79,32.50,33.56,35.32,35.95,37.26,37.98,39.28,40.21,42.37,44.58,45.04,45.35,46.61,48.51,48.10,49.24,49.91,50.73,51.24,51.37,53.28,54.12,52.46,55.92,55.72,57.02,58.21,57.28,58.46,59.65,60.43,63.62,65.13,63.72,65.26,64.68,-0.9%,1.3%,45.6%
                 Non-OECD,5.68,6.32,6.98,7.56,8.20,8.96,9.77,10.33,11.39,12.16,13.28,14.70,15.97,17.15,18.61,19.31,20.45,22.08,23.55,25.73,26.77,28.33,29.72,31.56,32.68,34.18,34.64,34.24,33.68,33.19,33.61,35.20,34.27,35.41,36.45,37.87,39.44,40.87,42.72,45.47,47.54,50.01,52.25,53.98,53.40,57.82,60.74,62.51,63.26,65.04,66.78,68.49,71.05,74.46,75.48,75.26,81.15,77.21,-4.9%,2.1%,54.4%
                 European Union#,1.32,1.50,1.78,2.26,2.84,3.44,4.08,4.83,5.54,6.20,6.69,7.31,7.62,7.91,8.28,8.24,8.11,7.90,8.20,8.62,9.04,9.17,9.65,9.65,9.99,10.49,10.74,10.38,10.59,10.46,11.33,12.31,11.98,12.31,12.62,12.92,13.37,13.46,14.19,14.57,15.07,15.03,14.78,15.09,14.17,15.24,14.02,13.78,13.50,11.94,12.48,13.27,13.89,13.63,14.13,13.68,14.29,12.36,-13.5%,-1.1%,8.7%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Excludes natural gas converted to liquid fuels but includes derivatives of coal as well as natural gas consumed in Gas-to-Liquids transformation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," Source: Includes data from Cedigaz, FGE MENAgas service."
^ Less than 0.005.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w Less than 0.05%.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n/a not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USSR includes CIS, Georgia, Ukraine and the Baltic States.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Excludes Estonia, Latvia and Lithuania prior to 1985 and Slovenia prior to 1990.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: The difference between these world consumption figures and the world production statistics is due to variations in stocks at storage facilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"and liquefaction plants, together with unavoidable disparities in the definition, measurement or conversion of gas supply and demand data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual changes and share of total are calculated using exajoules figures.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
